1,PyCharm CE,Python IDE for Professional Developers,sudo snap install pycharm-community --classic,https://dashboard.snapcraft.io/site_media/appmedia/2017/11/PyCharmCore256.png,development
2,Postman,API Development Environment,sudo snap install postman,https://dashboard.snapcraft.io/site_media/appmedia/2018/11/logo-mark.png,development
3,Atom,A hackable text editor for the 21st Century.,sudo snap install atom --classic,https://dashboard.snapcraft.io/site_media/appmedia/2017/04/atom-256px.png,development
4,Notepad-Plus-Plus,Notepad-Plus-Plus is a free source code editor.,sudo snap install notepad-plus-plus,https://dashboard.snapcraft.io/site_media/appmedia/2018/02/notepad-plus-plus.png,development
5,Android Studio,The IDE for Android,sudo snap install android-studio --classic,https://dashboard.snapcraft.io/site_media/appmedia/2018/03/rsz_android_studio_icon.png,development
6,PhpStorm,PHP IDE for Professional Development,sudo snap install phpstorm --classic,https://dashboard.snapcraft.io/site_media/appmedia/2017/11/webide.ico_HA9tBL0.png,development
7,Eclipse,Extensible Tool Platform and Java IDE,sudo snap install eclipse --classic,https://dashboard.snapcraft.io/site_media/appmedia/2018/04/electron.png,development
8,PyCharm Pro,Python IDE for Professional Developers,sudo snap install pycharm-professional --classic,https://dashboard.snapcraft.io/site_media/appmedia/2017/05/pycharm_logo_256.png,development
9,GitKraken,"For repo management, in-app code editing & issue tracking.",sudo snap install gitkraken,https://dashboard.snapcraft.io/site_media/appmedia/2018/01/1.png,development
10,IDEA Community,Capable & Ergonomic Java IDE,sudo snap install intellij-idea-community --classic,https://dashboard.snapcraft.io/site_media/appmedia/2017/11/icon_CE_256_2Qe5uEl.png,development
11,notepadqq,A Notepad++-like editor for Linux.,sudo snap install notepadqq,https://dashboard.snapcraft.io/site_media/appmedia/2018/02/icon.svg_7Eenexu.png,development
12,kubectl,Command line client for controlling a Kubernetes cluster.,sudo snap install kubectl --classic,https://dashboard.snapcraft.io/site_media/appmedia/2019/02/k8s-logo-256.png,development
13,powershell,PowerShell for every system!,sudo snap install powershell --classic,https://dashboard.snapcraft.io/site_media/appmedia/2018/09/Powershell_black.ico.png,development
14,IDEA Ultimate,"Capable & Ergonomic Java IDE for Enterprise, Web & Mobile Development",sudo snap install intellij-idea-ultimate --classic,https://dashboard.snapcraft.io/site_media/appmedia/2017/10/logo_zjwX5FR.png,development
15,Cacher,Cacher is a code snippet library for professional developers. Use it to build a technical knowledge base for you and your team.,sudo snap install cacher,https://dashboard.snapcraft.io/site_media/appmedia/2018/10/ubuntu-login.png,development
16,WebStorm,Powerful IDE for modern JavaScript development,sudo snap install webstorm --classic,https://dashboard.snapcraft.io/site_media/appmedia/2017/11/WebStorm_1282x.png,development
17,Brackets,"Brackets is a modern code editor for HTML, CSS and JavaScript.",sudo snap install brackets --classic,https://dashboard.snapcraft.io/site_media/appmedia/2017/07/brackets_256.png,development
18,Insomnia,Insomnia REST Client,sudo snap install insomnia,https://dashboard.snapcraft.io/site_media/appmedia/2018/04/twitter-card-icon.png,development
19,fx,Command-line tool and terminal JSON viewer,sudo snap install fx,https://dashboard.snapcraft.io/site_media/appmedia/2018/12/ezgif.com-resize.gif.png,development
20,git-standup,Recall what you did on the last working day.,sudo snap install git-standup--edge,https://assets.ubuntu.com/v1/be6eb412-snapcraft-missing-icon.svg,development
21,RedisDesktopManager,Redis Desktop Manager,sudo snap install redis-desktop-manager,https://dashboard.snapcraft.io/site_media/appmedia/2019/05/rdm_logo.png,development
22,Go,"Go programming language compiler, linker, stdlib",sudo snap install go --classic,https://dashboard.snapcraft.io/site_media/appmedia/2017/11/gophercolor.png,development
23,DataGrip,IntelliJ-based IDE for databases and SQL,sudo snap install datagrip --classic,https://dashboard.snapcraft.io/site_media/appmedia/2017/11/product_256.png,development
24,CLion,A cross-platform IDE for C and C++,sudo snap install clion --classic,https://dashboard.snapcraft.io/site_media/appmedia/2017/12/clion.ico.png,development
25,PyCharm EDU,Easy and Professional Tool to Learn & Teach Programming with Python,sudo snap install pycharm-educational --classic,https://dashboard.snapcraft.io/site_media/appmedia/2017/12/PyCharmEdu256.png,development
26,robo3t-snap,Robo 3T,sudo snap install robo3t-snap,https://dashboard.snapcraft.io/site_media/appmedia/2018/09/logo-256x256.png,development
27,node,Node.js,sudo snap install node --channel=10/stable --classic,https://dashboard.snapcraft.io/site_media/appmedia/2018/05/Artboard_4.png,development
28,GoLand,A Clever IDE to Go,sudo snap install goland --classic,https://dashboard.snapcraft.io/site_media/appmedia/2017/11/go_1282x.png,development
29,RubyMine,The Most Intelligent Ruby and Rails IDE,sudo snap install rubymine --classic,https://dashboard.snapcraft.io/site_media/appmedia/2017/11/rubymine.ico.png,development
30,snapcraft,easily create snaps,sudo snap install snapcraft --classic,https://dashboard.snapcraft.io/site_media/appmedia/2018/04/Snapcraft-logo-bird.png,development
31,sqlitebrowser-casept,Unofficial snap of the lightweight SQLite DB editing tool.,sudo snap install sqlitebrowser-casept,https://dashboard.snapcraft.io/site_media/appmedia/2017/04/sqlitebrowser-256.png,development
32,git-cola,The highly caffeinated Git GUI,sudo snap install git-cola,https://dashboard.snapcraft.io/site_media/appmedia/2018/07/icon_EQQeUqs.png,development
