id,appname,appdesc,applink,category
1,Chromium,"Chromium web browser, open-source version of Chrome",sudo snap install chromium,productivity
2,Brave [community maintained],Community-maintained unofficial Snap of Brave Browser,sudo snap install brave,productivity
3,Zenkit,"Track projects, organize collections, or brainstorm new ideas with Zenkit",sudo snap install zenkit,productivity
4,Wekan,Open-Source kanban,sudo snap install wekan,productivity
5,FromScratch,FromScratch,sudo snap install fromscratch,productivity
6,Firefox,Mozilla Firefox web browser,sudo snap install firefox,productivity
7,LibreOffice,"LibreOffice is a powerful office suite including word processing and creation of spreadsheets, slideshows and databases",sudo snap install libreoffice,productivity
8,Mailspring,The best email app for people and teams at work,sudo snap install mailspring,productivity
9,hiri,Hiri email client,sudo snap install hiri,productivity
10,Opera,"Fast, secure, easy-to-use browser",sudo snap install opera,productivity
11,Wavebox,Wavebox,sudo snap install wavebox,productivity
12,ONLYOFFICE Desktop Editors,"An office suite that allows creating, viewing and editing local documents.",sudo snap install onlyoffice-desktopeditors,productivity
13,Organize My Files,"One Click File Organizer for Windows, Mac & Linux",sudo snap install organize-my-files,productivity
14,QOwnNotes,Plain-text file notepad with markdown support and ownCloud / Nextcloud integration,sudo snap install qownnotes,productivity
15,Simplenote,The simplest way to keep notes.,sudo snap install simplenote,productivity
16,Ghost Desktop,The professional publishing platform.,sudo snap install ghost-desktop,productivity
17,Tusk,Refined Evernote desktop app,sudo snap install tusk,productivity
18,Ao,Elegant Microsoft To-Do desktop app,sudo snap install ao,productivity
19,Ora,Task management and team collaboration,sudo snap install ora,productivity
20,Okular,Document Viewer,sudo snap install okular,productivity
21,Evince,Document viewer for popular document formats,sudo snap install evince,productivity
22,Skrifa,A simple word processor built with web technologies,sudo snap install skrifa,productivity
23,FreeMind,A premier mind-mapping software written in Java,sudo snap install freemind,productivity
24,Protogrid,Protogrid - The Platform for Business Applications,sudo snap install protogrid,productivity
25,writefull,Writefull,sudo snap install writefull,productivity
26,Mutt,Mutt,sudo snap install mutt,productivity
27,Taskbook,"Tasks, boards & notes for the command-line habitat",sudo snap install taskbook,productivity
28,Imaginary Teleprompter,"A complete, professional grade, free software teleprompter.",sudo snap install imaginary-teleprompter,productivity
29,Pendulums,"Pendulums - Free, Unlimited, Easy to Use Time Tracking Application",sudo snap install pendulums,productivity
30,Colibri,Browse without tabs,sudo snap install colibri,productivity
31,giganotes,Modern cross platform note taking application,sudo snap install giganotes,productivity
32,Text Editor,Edit text files,sudo snap install gedit,productivity
33,Open Drive (Google Drive Client),This is a Linux GUI client for Google Drive.,sudo snap install odrive-unofficial,productivity
34,wps-office,WPS Office Suite,sudo snap install wps-office,productivity
35,Midori Web Browser,"a lightweight, fast, and free web browser",sudo snap install midori,productivity
36,Thunderbird,Mozilla Thunderbird email application,sudo snap install thunderbird--edge,productivity
37,Hugo,"A Fast and Flexible Static Site Generator built with love by bep, spf13 and friends in Go.",sudo snap install hugo,productivity
38,Heimer,Heimer is a simple cross-platform mind map tool.,sudo snap install heimer,productivity
39,todoist-thibaut,Basic Todoist electron snap,sudo snap install todoist-thibaut,productivity
40,MicroPad,A powerful note-taking app that helps you organise + take notes without restrictions.,sudo snap install micropad,productivity
41,GNOME Calendar,Calendar for GNOME,sudo snap install gnome-calendar,productivity
42,draftman,A plain-text draft management tool for novelists.,sudo snap install draftman --classic,productivity
43,k6,K6,sudo snap install k6,productivity
44,Recollectr,Record and recall without breaking your flow,sudo snap install recollectr,productivity
45,Waiter Restaurant POS Bar Point of Sale,Waiterio Restaurant POS is the fastest way to handle restaurants' orders,sudo snap install waiterio-restaurant-pos,productivity
46,GNU Emacs,GNU Emacs is the extensible self-documenting text editor,sudo snap install emacs --classic,productivity
47,Recollectr,Record and recall without breaking your flow,sudo snap install recollectr,productivity
48,Waiter Restaurant POS Bar Point of Sale,Waiterio Restaurant POS is the fastest way to handle restaurants' orders,sudo snap install waiterio-restaurant-pos,productivity
49,GNU Emacs,GNU Emacs is the extensible self-documenting text editor,sudo snap install emacs --classic,productivity
50,Registrac,Registrac,sudo snap install registrac,productivity
51,PDF Mix Tool,"An application to split, merge, rotate and mix PDF files",sudo snap install pdfmixtool,productivity
52,notepadqq,A Notepad++-like editor for Linux.,sudo snap install notepadqq,productivity
53,ascii-clock,An analog clock for your terminal,sudo snap install ascii-clock,productivity
54,Gmail Desktop,A cross-platform dedicated Gmail application,sudo snap install gmail-desktop,productivity
55,Quelea,Open source church projection software,sudo snap install quelea,productivity
56,Toggl Desktop,Simple and Intuitive Time Tracking Software,sudo snap install toggldesktop--edge,productivity
57,dotdrop,"Save your dotfiles once, deploy them everywhere",sudo snap install dotdrop,productivity
58,unifonter,unifonter is a filter that tries to make ASCII fancy with the help of Unicode,sudo snap install unifonter,productivity
59,panorama,A simple system monitor for Linux,sudo snap install panorama,productivity
60,icecream-sundae,Commandline Monitor for Icecream.,sudo snap install icecream-sundae-snap,productivity
61,bzoing,Simple calendar alarms for your desktop,sudo snap install bzoing,productivity
62,Wire,Secure and private chat with end-to-end encryption,sudo snap install wire,productivity
63,barrier-kvm,Eliminate the barrier between your machines.,sudo snap install barrier-kvm,productivity
64,Math Cracker,Crack of Mathematics,sudo snap install math-cracker,productivity
65,Rambox CE,Rambox CE,sudo snap install rambox,productivity
66,ElectronMail,Unofficial desktop app for ProtonMail and Tutanota end-to-end encrypted email providers,sudo snap install electron-mail,productivity
67,Teams for Linux,Unofficial Microsoft Teams client for Linux using Electron.,sudo snap install teams-for-linux,productivity
68,SimpleScreenRecorder (UNOFFICIAL),A feature-rich screen recorder,sudo snap install simplescreenrecorder-brlin,productivity
69,zzBots,Integrate & Automate Your Apps,sudo snap install zzbots,productivity
70,Slack,Team communication for the 21st century.,sudo snap install slack --classic,productivity
71,Mazu Editor,"A minimalist text editor with syntax highlight, copy/paste, and search",sudo snap install mazu-editor,productivity
72,cyramix,Get your own virtual world.,sudo snap install cyramix--beta,productivity
73,Symphytum,Easy-to-use personal database software,sudo snap install symphytum,productivity
74,(UNOFFICIAL) nano,"Small, friendly text editor inspired by Pico",sudo snap install nano,productivity
75,transmission-daemon-simosx,"Transmission is a fast, easy, and free BitTorrent client.",sudo snap install transmission-daemon-simosx,productivity
76,Rambox Pro,Rambox Pro,sudo snap install ramboxpro,productivity
77,Bitwarden,A secure and free password manager for all of your devices.,sudo snap install bitwarden,productivity
78,qts3browser,Amazon S3 client written in QT,sudo snap install qts3browser--edge,productivity
79,jotit,Note taking app,sudo snap install jotit,productivity
