1,Nextcloud,Nextcloud Server - A safe home for all your data,sudo snap install nextcloud,Server and cloud
2,kata-containers,Lightweight virtual machines that seamlessly plug into the containers ecosystem,sudo snap install kata-containers --classic,Server and cloud
3,Docker,Docker container runtime,sudo snap install docker,Server and cloud
4,Google Cloud SDK,Command-line interface for Google Cloud Platform products and services,sudo snap install google-cloud-sdk --classic,Server and cloud
5,canonical-livepatch,Canonical Livepatch Client,sudo snap install canonical-livepatch,Server and cloud
6,Rocket.Chat Server,"Group chat server for 100s,  installed in seconds.",sudo snap install rocketchat-server,Server and cloud
7,LXD,System container manager and API,sudo snap install lxd,Server and cloud
8,mosquitto,Eclipse Mosquitto MQTT broker,sudo snap install mosquitto,Server and cloud
9,etcd,Resilient key-value store by CoreOS,sudo snap install etcd,Server and cloud
10,SABnzbd,SABnzbd,sudo snap install sabnzbd,Server and cloud
11,aws-cli,Universal Command Line Interface for Amazon Web Services,sudo snap install aws-cli --classic,Server and cloud
12,doctl,DigitalOcean command line tool,sudo snap install doctl,Server and cloud
13,conjure-up,Package runtime for conjure-up spells,sudo snap install conjure-up --classic,Server and cloud
14,minidlna,server software with the aim of being fully compliant with DLNA/UPnP clients.,sudo snap install minidlna-escoand,Server and cloud
15,heroku,CLI client for Heroku,sudo snap install heroku --classic,Server and cloud
16,keepalived,High availability VRRP/BFD and load-balancing for Linux,sudo snap install keepalived --classic,Server and cloud
17,amazon-ssm-agent,Agent to enable remote management of your Amazon EC2 instance configuration,sudo snap install amazon-ssm-agent --classic,Server and cloud
18,prometheus,The Prometheus monitoring system and time series database,sudo snap install prometheus,Server and cloud
19,juju,juju client,sudo snap install juju --classic,Server and cloud
20,slcli,Python based SoftLayer API Tool.,sudo snap install slcli,Server and cloud
21,helm,The Kubernetes package manager,sudo snap install helm --classic,Server and cloud
22,kubelet,Kubernetes “node agent” that runs on each node in Kubernetes.,sudo snap install kubelet --classic,Server and cloud
23,kube-proxy,Kubernetes network proxy that runs on each node.,sudo snap install kube-proxy --classic,Server and cloud
24,kube-scheduler,Kubernetes master component that assigns each newly created pod to a node.,sudo snap install kube-scheduler,Server and cloud
25,kube-controller-manager,Kubernetes master component that runs controllers.,sudo snap install kube-controller-manager,Server and cloud
26,cdk-addons,Addons for the Canonical Distribution of Kubernetes,sudo snap install cdk-addons,Server and cloud
27,kube-apiserver,Kubernetes master component that exposes the Kubernetes API.,sudo snap install kube-apiserver,Server and cloud
28,robomongo,MongoDB management tool,sudo snap install robomongo,Server and cloud
29,minikube,Run Kubernetes locally,sudo snap install minikube,Server and cloud
30,mysql,Experimental MySQL Community snap,sudo snap install mysql--beta,Server and cloud
31,SMonitor,Monitoring of server states (and other things),sudo snap install smonitor,Server and cloud
32,subiquity,Ubuntu installer,sudo snap install subiquity --classic,Server and cloud
33,postgresql,"PostgreSQL is a powerful, open source object-relational database system.",sudo snap install postgresql,Server and cloud
34,postgresql93,"PostgreSQL is a powerful, open source object-relational database system.",sudo snap install postgresql93,Server and cloud
35,postgresql94,"PostgreSQL is a powerful, open source object-relational database system.",sudo snap install postgresql94,Server and cloud
36,postgresql95,"PostgreSQL is a powerful, open source object-relational database system.",sudo snap install postgresql95,Server and cloud
37,postgresql96,"PostgreSQL is a powerful, open source object-relational database system.",sudo snap install postgresql96,Server and cloud
38,postgresql10,"PostgreSQL is a powerful, open source object-relational database system.",sudo snap install postgresql10,Server and cloud
39,postgresql-pgbouncer,Lightweight connection pooler for PostgreSQL,sudo snap install postgresql-pgbouncer,Server and cloud
40,postgresql95-pgpool2-35,pgpool-II is a connection pooler for PostgreSQL.,sudo snap install postgresql95-pgpool2-35,Server and cloud
41,postgresql95-pgpool2-36,pgpool-II is a connection pooler for PostgreSQL.,sudo snap install postgresql95-pgpool2-36,Server and cloud
42,mOAuth,OAuth 2.0 Authorization and Resource Server,sudo snap install moauth,Server and cloud
43,tika-server,Tika Server for metadata discovery and extraction,sudo snap install tika-server,Server and cloud
44,netvirt-agent2,NetVirt a is network virtualization platform.,sudo snap install netvirt-agent2,Server and cloud
45,cast-web-api,Control your Google Cast devices.,sudo snap install cast-web-api,Server and cloud
46,shell2http,Executing shell commands via HTTP server,sudo snap install shell2http,Server and cloud
47,netvirt-agent2,NetVirt a is network virtualization platform.,sudo snap install netvirt-agent2,Server and cloud
48,cast-web-api,Control your Google Cast devices.,sudo snap install cast-web-api,Server and cloud
49,shell2http,Executing shell commands via HTTP server,sudo snap install shell2http,Server and cloud
